Rank,Platform,Channel Name,Region,Followers,Peak Viewers,Average Viewers,Popular Categories
1,Twitch,ibai,ES,15308628,3442745,55651,"['Just Chatting', 'League of Legends', 'Sports', 'Minecraft', 'Among Us']"
2,Nimo TV,NIMO GALA 2023,VI,52009,3043120,37218,['GTA5']
3,Twitch,TheGrefg,ES,11688018,2470347,24613,"['Just Chatting', 'Fortnite', 'Minecraft', 'Clash Royale', 'Valorant']"
4,Nimo TV,MPL ID,ID,1421167,1503628,42080,['Mobile Legends']
5,Twitch,Squeezie,FR,4832764,1340960,23069,"['Just Chatting', 'League of Legends', 'Valorant', 'Among Us', 'Minecraft']"
6,Twitch,elxokas,ES,3632399,1208144,11904,"['Just Chatting', 'World of Warcraft', 'League of Legends', 'Rust']"
7,Twitch,aminematue,FR,2369866,1155060,16382,"['Just Chatting', 'Grand Theft Auto V', 'League of Legends', 'Fall Guys: Ultimate Knockout', 'FIFA 21']"
8,Twitch,ELEAGUE TV,EN,1602862,1130760,7069,"['Magic: The Gathering', 'Rocket League', 'Just Chatting', 'Mortal Kombat 11', 'FIFA 21']"
9,Twitch,kingsleague,ES,3001424,1108295,122083,"['Sports', 'Special Events']"
10,Twitch,PlayStation,EN,867020,1016962,3986,"['Mortal Kombat 11', 'Tekken 7', 'Apex Legends', 'Soulcalibur VI', 'Guilty Gear -Strive-']"
11,Twitch,Riot Games,EN,6855513,990201,32216,"['League of Legends', 'Teamfight Tactics', 'League of Legends: Wild Rift', 'Valorant', 'Legends of Runeterra']"
12,Nimo TV,MixiGaming,VI,2331509,984808,221617,"['GTA5', 'PUBG']"
13,Twitch,dota2ti_ru,RU,955445,812818,67653,['Dota 2']
14,Kick,westcol,ES,300721,806667,28919,"['Just Chatting', 'Call of Duty: Warzone 2.0', 'Special Events', 'Call of Duty: Warzone']"
15,Twitch,onextwo_,EN,23785,767642,56475,['Unknown']
16,Twitch,ZeratoR,FR,1538665,720751,13951,"['Valorant', 'Just Chatting', 'World of Warcraft', 'TrackMania', 'Special Events']"
17,Twitch,Fortnite,EN,5640103,712682,21002,['Fortnite']
18,Twitch,Shadoune666,ES,1823739,708568,1222,"['Minecraft', 'Just Chatting', 'Fall Guys: Ultimate Knockout', 'Fortnite']"
19,Twitch,Gaules,PT,4022902,707648,15766,"['Counter-Strike', 'Just Chatting', 'Among Us', 'Sports', 'Motorsport Manager']"
20,Twitch,Riot_esports_Korea,KO,1331677,692626,40631,"['Valorant', 'Teamfight Tactics']"
